id,title,author,genre,description
1,The Silent Library,Ava Nguyen,Fiction,A quiet town hides a secret archive where stories rewrite memories.
2,Data Structures in Practice,Minh Tran,Technology,Hands-on guide to building efficient lists trees graphs and hash maps with real examples.
3,The Last Algorithm,Quang Le,Science Fiction,An AI discovers a pattern that predicts human choices and must decide what to reveal.
4,Cooking with Stories,Linh Pham,Nonfiction,Recipes paired with family anecdotes and cultural history across generations.
5,Mystery of the Old Bookshop,Ha Vu,Mystery,A detective follows coded notes inside rare books to uncover a stolen manuscript.
6,Flutter for Mobile Apps,Thao Do,Technology,Build modern cross platform apps with widgets state management and clean architecture tips.
7,Gardens of the Mind,An Khang,Self-Help,Practical habits to reduce stress improve focus and cultivate long term resilience.
8,Dragons of the Eastern Sea,My Anh,Fantasy,A young sailor bonds with an ancient sea dragon to stop a coastal war.
9,Poems for Rainy Days,Thanh Son,Poetry,Short reflective poems about love loss and hope during quiet storms.
10,History of Hanoi Streets,Hoang Mai,History,A narrative walk through famous streets tracing architecture markets and changing communities.
